"member_casual","day_of_week","num_rides","avg_duration"
"casual","1","388981","2043.6343"
"casual","2","277649","1751.3805"
"casual","3","263706","1549.5189"
"casual","4","274339","1485.1319"
"casual","5","309297","1533.0238"
"casual","6","334667","1682.8110"
"casual","7","473130","1957.0725"
"member","1","387180","841.9355"
"member","2","473305","736.2531"
"member","3","518584","727.8171"
"member","4","523836","726.3364"
"member","5","532215","737.6191"
"member","6","467051","751.8978"
"member","7","443246","848.4573"
